,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Total_Stops,Price,Duration_Hours,Duration_Min,Day_Of_Journey,Month_Of_Journey,Dep_hour,Dep_min,Arrival_hour,Arrival_min
69,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6297,2,15,12,3,13,20,15,35
70,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5678,1,25,1,6,7,5,8,30
71,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,9134,26,30,9,3,5,45,8,15
72,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10791,7,20,24,6,11,40,19,0
73,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,12819,13,30,24,6,23,5,12,35
74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6893,5,0,21,3,5,5,10,5
75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7240,2,45,9,3,9,50,12,35
76,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3898,2,50,3,4,11,40,14,30
77,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4049,1,30,3,4,6,25,7,55
78,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10262,19,5,15,6,17,30,12,35
79,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3332,2,15,21,3,8,20,10,35
80,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10844,14,50,9,6,21,10,12,0
81,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7229,2,40,24,3,19,55,22,35
82,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,13941,22,10,6,5,6,30,4,40
83,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5894,9,35,27,6,11,25,21,0
84,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10197,10,0,18,5,9,0,19,0
85,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13712,21,20,6,3,14,5,11,25
86,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5636,5,25,24,6,2,0,7,25
87,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13014,18,45,6,6,9,40,4,25
88,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7064,12,20,1,4,8,25,20,45
89,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10703,18,0,24,5,20,25,14,25
90,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9646,9,15,27,5,13,15,22,30
91,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17057,11,5,6,3,2,15,13,20
92,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13817,17,30,12,3,16,55,10,25
93,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,13748,13,20,6,3,5,55,19,15
94,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4880,2,35,21,4,20,45,23,20
95,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3540,2,25,21,6,5,15,7,40
96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3257,2,40,15,5,5,55,8,35
97,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6478,3,0,3,6,19,50,22,50
98,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8040,1,25,18,6,7,5,8,30
99,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,14300,16,35,12,6,20,0,12,35
100,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14781,12,20,15,5,8,25,20,45
101,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14939,12,15,9,6,20,0,8,15
102,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10262,7,30,24,6,20,55,4,25
103,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,6528,24,0,12,5,14,35,14,35
104,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6121,2,45,1,5,6,10,8,55
105,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13029,8,55,18,5,19,30,4,25
106,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11421,7,10,27,3,11,40,18,50
107,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7574,14,30,27,3,4,45,19,15
108,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,11596,30,20,9,5,12,55,19,15
109,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,15129,19,55,24,5,23,5,19,0
110,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13555,15,0,18,3,14,5,5,5
111,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5780,2,55,12,4,18,55,21,50
112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9397,12,45,12,5,20,20,9,5
113,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17024,10,10,6,3,18,15,4,25
114,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5281,5,55,27,6,7,0,12,55
115,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10348,15,25,18,5,7,5,22,30
116,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12677,16,5,6,3,17,20,9,25
117,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15147,10,10,3,3,15,25,1,35
118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4668,2,40,12,6,7,0,9,40
119,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,15554,11,55,9,5,7,5,19,0
120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3971,2,40,9,4,5,55,8,35
121,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3100,1,25,3,5,15,0,16,25
122,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9663,14,5,6,5,20,0,10,5
123,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27430,20,15,1,3,23,0,19,15
124,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3540,2,25,12,5,5,15,7,40
125,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,10676,23,10,21,5,12,0,11,10
126,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,13044,18,10,12,6,14,5,8,15
127,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14388,16,0,6,5,20,0,12,0
128,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3943,2,50,24,6,4,0,6,50
129,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3597,2,20,3,6,14,45,17,5
130,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5932,8,0,21,3,11,50,19,50
131,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10262,16,55,15,6,11,30,4,25
132,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6216,3,10,12,5,14,40,17,50
133,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4804,2,45,15,6,20,25,23,10
134,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14067,14,0,21,5,11,30,1,30
135,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,15129,23,50,18,5,19,10,19,0
136,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13376,21,40,6,6,6,45,4,25
137,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,10441,21,15,27,6,22,0,19,15
138,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4030,2,45,24,5,6,0,8,45
139,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17024,10,50,3,3,8,0,18,50
140,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13017,8,0,9,4,17,30,1,30
141,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,6686,8,15,6,6,23,30,7,45
142,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5636,5,25,15,6,2,0,7,25
143,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6442,8,35,9,6,7,35,16,10
144,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9486,11,50,21,5,13,5,0,55
145,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10844,27,35,21,5,20,0,23,35
146,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,15318,8,25,3,6,20,0,4,25
147,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5117,20,55,3,4,12,30,9,25
148,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6147,4,50,24,6,15,10,20,0
149,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7005,8,10,9,6,12,50,21,0
150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3873,2,20,3,4,22,20,0,40
151,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,9270,24,25,21,3,18,25,18,50
152,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3898,2,50,27,6,11,40,14,30
153,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14781,12,20,12,5,8,25,20,45
154,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,8586,12,15,24,5,20,0,8,15
155,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,10697,23,35,9,5,8,20,7,55
156,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,14300,16,35,27,6,20,0,12,35
157,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8855,2,50,3,3,18,55,21,45
158,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10844,25,45,12,5,16,30,18,15
159,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,17024,26,10,6,3,2,15,4,25
160,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9314,28,50,1,5,9,35,14,25
161,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4777,2,45,24,3,0,40,3,25
162,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,7662,25,15,9,6,12,0,13,15
163,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6442,9,20,9,5,6,50,16,10
164,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5264,4,30,12,6,8,45,13,15
165,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,12898,15,25,27,5,13,0,4,25
166,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6092,1,30,3,3,13,55,15,25
167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3311,2,40,21,5,5,55,8,35
168,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6540,9,10,27,3,19,15,4,25
169,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3419,2,45,27,5,1,30,4,15
170,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5177,22,35,3,4,14,0,12,35
171,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8246,3,5,18,4,18,5,21,10
172,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,14676,11,30,9,6,9,35,21,5
173,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13587,9,30,27,6,11,30,21,0
174,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9663,12,10,6,5,21,10,9,20
175,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,13044,17,35,12,6,16,30,10,5
176,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5073,5,5,3,4,20,25,1,30
177,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9345,25,50,21,5,17,0,18,50
178,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9663,20,0,6,5,14,5,10,5
179,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,14277,13,0,21,5,8,0,21,0
180,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10262,18,25,1,6,10,0,4,25
181,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5678,1,30,27,3,19,35,21,5
182,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13727,9,30,15,5,16,0,1,30
183,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9663,16,0,6,5,20,0,12,0
184,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3858,2,20,12,5,14,45,17,5
185,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4812,4,30,24,6,8,45,13,15
186,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5775,5,45,27,6,21,50,3,35
187,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10539,24,10,6,6,9,35,9,45
188,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4804,2,35,3,6,15,30,18,5
189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383,2,45,12,6,11,10,13,55
190,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8738,4,55,3,3,12,10,17,5
191,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7165,25,35,27,3,5,15,6,50
192,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6412,6,20,24,6,16,10,22,30
193,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8016,3,5,27,6,18,55,22,0
194,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11087,18,40,12,3,20,35,15,15
195,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3543,2,15,27,6,9,45,12,0
196,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,12471,12,10,12,6,16,30,4,40
197,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10262,19,25,24,6,9,0,4,25
198,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4441,2,50,18,3,13,20,16,10
199,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12537,8,25,27,3,7,5,15,30
200,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,10091,9,15,24,3,22,25,7,40
201,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6961,2,50,3,6,21,5,23,55
202,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5013,3,15,24,4,5,35,8,50
203,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6934,2,50,18,5,5,10,8,0
204,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10877,12,20,3,6,6,40,19,0
205,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7229,2,55,18,4,15,15,18,10
206,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7048,9,35,27,3,16,0,1,35
207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4878,2,35,27,6,17,0,19,35
208,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,10844,9,30,21,5,14,5,23,35
209,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,15129,29,20,18,5,23,5,4,25
210,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3943,2,55,12,5,0,30,3,25
211,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5583,5,15,6,6,6,5,11,20
212,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9646,9,5,6,6,7,5,16,10
213,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7677,10,45,3,6,8,30,19,15
214,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6842,4,55,1,6,5,10,10,5
215,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4995,1,30,24,6,8,45,10,15
216,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,9555,11,40,9,6,7,10,18,50
217,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4077,2,45,1,6,1,30,4,15
218,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7229,2,55,12,5,15,15,18,10
219,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12192,10,0,9,6,9,0,19,0
